text,lang_zh,subType,dir
makeup,浓装,普通,容貌/表情
food on face,食物在脸上,普通,容貌/表情
smelling,闻,普通,容貌/表情
nosebleed,鼻血,普通,容貌/表情
clenched teeth,咬牙,普通,容貌/表情
open mouth,张口,普通,容貌/表情
pout,努嘴,普通,容貌/表情
sigh,叹气,普通,容貌/表情
smile,微笑,普通,容貌/表情
light smile,浅笑,普通,容貌/表情
grin,露齿而笑,普通,容貌/表情
evil smile,坏笑,普通,容貌/表情
angry,生气的,普通,容貌/表情
annoyed,苦恼的,普通,容貌/表情
crazy,疯狂的,普通,容貌/表情
shy,害羞的,普通,容貌/表情
embarrassed,尴尬的,普通,容貌/表情
blush,脸红的,普通,容貌/表情
sleepy,困乏的,普通,容貌/表情
sad,悲伤的,普通,容貌/表情
drunk,喝醉的,普通,容貌/表情
frown,皱眉/蹙额,普通,容貌/表情
fangs,尖牙,普通,容貌/表情
tongue,舌头,普通,容貌/表情
no nose,没有鼻子,普通,容貌/表情
saliva,唾液,普通,容貌/表情
facial hair,胡子,普通,容貌/表情
fingersmile,用手指做出笑脸,普通,容貌/表情
mouth hold,嘴咬住,普通,容貌/表情
parted lips,嘴唇微张,普通,容貌/表情
closed mouth,闭嘴,普通,容貌/表情
tongue out,吐舌头,普通,容貌/表情
licking lips,舔嘴唇,普通,容貌/表情
pain,疼痛,普通,容貌/表情
crying,哭,普通,容貌/表情
fume,气得冒烟(漫画),普通,容貌/表情
grimace,厌恶的怪相,普通,容貌/表情
screaming,尖叫,普通,容貌/表情
v-shaped eyebrows,V形眉(表高傲或愤怒),普通,容貌/表情
scared,害怕的,普通,容貌/表情
scowl,怒视/嫌弃/不满,普通,容貌/表情
serious,严肃的,普通,容貌/表情
tearing up,要哭的表情,普通,容貌/表情
bored,无聊的,普通,容貌/表情
gloom (expression),消沉(表情),普通,容貌/表情
jealous,嫉妒的,普通,容貌/表情
jitome,轻蔑的眼神,普通,容貌/表情
nervous,不安的,普通,容貌/表情
nervous smile,不安地微笑,普通,容貌/表情
shaded,阴沉脸,普通,容貌/表情
turn pale,脸色苍白,普通,容貌/表情
expressionless,无口,普通,容貌/表情
expressions,表情,普通,容貌/表情
