text,lang_zh,subType,dir
heart-shaped pupils,爱心形瞳孔,普通,容貌/眼睛
rolling eyes,眼睛抬头,普通,容貌/眼睛
crazy eyes,疯狂的眼睛,普通,容貌/眼睛
raised eyebrows,挑眉,普通,容貌/眼睛
furrowed brow,下眉毛,普通,容貌/眼睛
dashed eyes,黑眼圈中的水平线,普通,容貌/眼睛
multicolored eyes,多色的黑眼睛,普通,容貌/眼睛
mismatched pupils,左右眼颜色不同,普通,容貌/眼睛
mismatched sclera,左右眼不同颜色的眼白,普通,容貌/眼睛
no pupils,没有眼睛,普通,容貌/眼睛
empty eyes,眼睛没有亮点,普通,容貌/眼睛
blank eyes,白眼球,普通,容貌/眼睛
dilated pupils,瞳孔扩张,普通,容貌/眼睛
hollow eyes,漆黑的眼睛,普通,容貌/眼睛
constricted pupils,瞳孔收缩,普通,容貌/眼睛
symbol-shaped pupils,符号眼,普通,容貌/眼睛
star-shaped pupils,星形眼睛,普通,容貌/眼睛
x-shaped pupils,X 形眼睛,普通,容貌/眼睛
button eyes,纽扣眼,普通,容貌/眼睛
eye reflection,眼睛反射,普通,容貌/眼睛
closed eyes,闭上眼睛,普通,容貌/眼睛
one eye closed,一只眼睛闭着,普通,容貌/眼睛
half-closed eyes,眼睛半闭,普通,容貌/眼睛
eyes closed,闭眼,普通,容貌/眼睛
wince,闭一只眼,普通,容貌/眼睛
tsurime,吊眼角,普通,容貌/眼睛
eyeball,盯着看,普通,容貌/眼睛
tears,眼泪,普通,容貌/眼睛
gradient eyes,渐变瞳色,普通,容貌/眼睛
aqua eyes,吐舌鬼脸,普通,容貌/眼睛
crying with eyes open,睁着眼落泪,普通,容貌/眼睛
glowing eyes,发光的双眼,普通,容貌/眼睛
half-closed eye,半闭的眼睛(单眼),普通,容貌/眼睛
happy tears,开心的眼泪,普通,容貌/眼睛
sparkling eyes,星星眼,普通,容貌/眼睛
glaring,轻蔑/怒视,普通,容貌/眼睛
streaming tears,流泪,普通,容貌/眼睛
eyebrows behind hair,挡在头发下的眉毛,普通,容貌/眼睛
empty eyes,空洞眼睛,普通,容貌/眼睛
wide eyes,睁大眼睛,普通,容貌/眼睛
one eye closed,闭上一只眼,普通,容貌/眼睛
half-closed eyes,半闭眼睛,普通,容貌/眼睛
gradient_eyes,渐变眼,普通,容貌/眼睛
aqua eyes,水汪汪大眼,普通,容貌/眼睛
rolling eyes,翻白眼,普通,容貌/眼睛
cross-eyed,斗鸡眼,普通,容貌/眼睛
slit pupils,猫眼,普通,容貌/眼睛
bloodshot eyes,布满血丝的眼睛,普通,容貌/眼睛
glowing eyes,发光眼睛,普通,容貌/眼睛
tsurime,吊眼角,普通,容貌/眼睛
tareme,垂眼角,普通,容貌/眼睛
devil eyes,恶魔眼,普通,容貌/眼睛
constricted pupils,收缩的瞳孔,普通,容貌/眼睛
devil pupils,魔瞳,普通,容貌/眼睛
snake pupils,蛇瞳,普通,容貌/眼睛
heterochromia,异色瞳,普通,容貌/眼睛
purple eyes,紫眼,普通,容貌/眼睛
red eyes,红眼,普通,容貌/眼睛
slit pupils,竖瞳孔/猫眼,普通,容貌/眼睛
white eyes,白眼,普通,容貌/眼睛
yellow eyes,金眼,普通,容貌/眼睛
tareme,下垂的眼睛,普通,容貌/眼睛
sanpaku,三白眼,普通,容貌/眼睛
upturned eyes,上翘的眼睛,普通,容貌/眼睛
wide-eyed,睁开眼睛,普通,容貌/眼睛
ringed eyes,眼圈,普通,容貌/眼睛
pupils sparkling,闪闪发光瞳,普通,容貌/眼睛
flower-shaped pupils,花形瞳,普通,容貌/眼睛
heart-shaped pupils,爱心瞳,普通,容貌/眼睛
heterochromia,异色瞳,普通,容貌/眼睛
color contact lenses,美瞳,普通,容貌/眼睛
longeyelashes,长睫毛,普通,容貌/眼睛
colored eyelashes,彩色睫毛,普通,容貌/眼睛
mole under eye,眼下痣,普通,容貌/眼睛
solid circle eyes,实心圆眼睛,普通,容貌/眼睛
heart-shaped eyes,心形眼,普通,容貌/眼睛
@ @,晕眼,普通,容貌/眼睛
cross-eyed,斗鸡眼,普通,容貌/眼睛
orange eyes,橙色的眼镜,普通,容貌/眼睛
pink eyes,粉红色的眼睛,普通,容貌/眼睛
amber eyes,琥珀色眼,普通,容貌/眼睛
pac-man eyes,吃豆人形眼,普通,容貌/眼睛
horizontal pupils,一字型瞳孔/蛙眼,普通,容貌/眼睛
diamond-shaped pupils,钻石形瞳孔,普通,容貌/眼睛
flower-shaped pupils,花形瞳孔,普通,容貌/眼睛
