text,lang_zh,subType,dir
halo,头顶光环,普通,容貌/头饰
tokin hat,东金帽子,普通,容貌/头饰
mini top hat,迷你礼帽,普通,容貌/头饰
beret,贝雷帽,普通,容貌/头饰
hood,兜帽,普通,容貌/头饰
nurse cap,护士帽,普通,容貌/头饰
tiara,三重冕,普通,容貌/头饰
crown,皇冠,普通,容貌/头饰
hairpin,发卡,普通,容貌/头饰
hairband,头箍,普通,容貌/头饰
hairclip,发夹,普通,容貌/头饰
hair ribbon,发带,普通,容貌/头饰
hair flower,发花,普通,容貌/头饰
hair ornament,头饰,普通,容貌/头饰
hair bow,蝴蝶结发饰,普通,容貌/头饰
maid headdress,女仆头饰,普通,容貌/头饰
ribbon,丝带,普通,容貌/头饰
sunglasses,太阳镜,普通,容貌/头饰
blindfold,眼罩,普通,容貌/头饰
eyepatch,单眼罩,普通,容貌/头饰
mask,面具/眼罩/口罩,普通,容貌/头饰
jewelry,首饰,普通,容貌/头饰
bell,铃铛,普通,容貌/头饰
facepaint,面纹,普通,容貌/头饰
horns,兽角,普通,容貌/头饰
antlers,鹿角,普通,容貌/头饰
clover hair ornament,三叶草发饰,普通,容貌/头饰
crescent hair ornament,月牙发饰,普通,容貌/头饰
demon horns,恶魔的角,普通,容貌/头饰
jeweled branch of hourai,蓬莱玉枝,普通,容貌/头饰
fish hair ornament,鱼形发饰,普通,容貌/头饰
forehead jewel,额前有宝石,普通,容貌/头饰
forehead mark,额前有图案,普通,容貌/头饰
forehead protector,护额,普通,容貌/头饰
kanzashi,簪子,普通,容貌/头饰
hair bobbles,头绳,普通,容貌/头饰
hairpods,头发上成对的像无线蓝牙的发饰,普通,容貌/头饰
hair bell,头发上系着铃铛,普通,容貌/头饰
heart-shaped eyewear,心形眼镜,普通,容貌/头饰
goggles,护目镜,普通,容貌/头饰
rimless eyewear,无框眼镜,普通,容貌/头饰
over-rim eyewear,下半无框眼镜,普通,容貌/头饰
kamina shades,卡米纳墨镜,普通,容貌/头饰
goggles on head,头上别着护目镜,普通,容貌/头饰
goggles on headwear,帽子上别着护目镜,普通,容貌/头饰
head mounted display,戴着头戴显示设备,普通,容貌/头饰
bandage on,贴有绷带的脸,普通,容貌/头饰
bandage over one eye,缠着绷带的单眼,普通,容貌/头饰
scar across eye,眼睛上的疤痕,普通,容貌/头饰
scar on cheek,脸颊上的疤痕,普通,容貌/头饰
covered eyes,蒙住的眼,普通,容貌/头饰
surgical mask,医用口罩,普通,容貌/头饰
mouth mask,口罩,普通,容貌/头饰
mouth veil,面纱,普通,容貌/头饰
coke-bottle glasses,厚如玻璃瓶底的圆眼镜,普通,容貌/头饰
tengu mask,天狗面具,普通,容貌/头饰
fox mask,狐狸面具,普通,容貌/头饰
